----------------------------------------------------------------------
Marvellous Proccess Log 
Log file created at : Sun Jun  2 10:18:59 2024
----------------------------------------------------------------------
Contents of Log File : 
----------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0} 
{'name': 'ArmouryCrate.UserSessionHelper.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 5360} 
{'name': 'svchost.exe', 'username': None, 'pid': 5528} 
{'name': 'spoolsv.exe', 'username': None, 'pid': 5616} 
{'name': 'wlanext.exe', 'username': None, 'pid': 5684} 
{'name': 'svchost.exe', 'username': None, 'pid': 5692} 
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 5800} 
{'name': 'conhost.exe', 'username': None, 'pid': 5824} 
{'name': 'svchost.exe', 'username': None, 'pid': 5828} 
{'name': 'HxAccounts.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 5832} 
{'name': 'audiodg.exe', 'username': None, 'pid': 5944} 
{'name': 'svchost.exe', 'username': None, 'pid': 5996} 
{'name': 'armsvc.exe', 'username': None, 'pid': 6088} 
{'name': 'msedge.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 6112} 
{'name': 'svchost.exe', 'username': None, 'pid': 6124} 
{'name': 'ArmouryCrateControlInterface.exe', 'username': None, 'pid': 6152} 
{'name': 'ArmouryCrate.Service.exe', 'username': None, 'pid': 6160} 
{'name': 'AsusAppService.exe', 'username': None, 'pid': 6176} 
{'name': 'AsusSoftwareManager.exe', 'username': None, 'pid': 6204} 
{'name': 'AsusSwitch.exe', 'username': None, 'pid': 6216} 
{'name': 'AsusSystemDiagnosis.exe', 'username': None, 'pid': 6224} 
{'name': 'AsusSystemAnalysis.exe', 'username': None, 'pid': 6236} 
{'name': 'OfficeClickToRun.exe', 'username': None, 'pid': 6268} 
{'name': 'svchost.exe', 'username': None, 'pid': 6280} 
{'name': 'chrome.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 6312} 
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 6328} 
{'name': 'svchost.exe', 'username': None, 'pid': 6348} 
{'name': 'DtsApo4Service.exe', 'username': None, 'pid': 6432} 
{'name': 'GameSDK.exe', 'username': None, 'pid': 6440} 
{'name': 'svchost.exe', 'username': None, 'pid': 6484} 
{'name': 'svchost.exe', 'username': None, 'pid': 6496} 
{'name': 'sihost.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 6588} 
{'name': 'csrss.exe', 'username': None, 'pid': 6680} 
{'name': 'LightingService.exe', 'username': None, 'pid': 6688} 
{'name': 'NortonSecurity.exe', 'username': None, 'pid': 6720} 
{'name': 'mysqld.exe', 'username': None, 'pid': 6732} 
{'name': 'nsWscSvc.exe', 'username': None, 'pid': 6788} 
{'name': 'nvcontainer.exe', 'username': None, 'pid': 6816} 
{'name': 'ROGLiveService.exe', 'username': None, 'pid': 6892} 
{'name': 'RtkAudUService64.exe', 'username': None, 'pid': 6900} 
{'name': 'chrome.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 6920} 
{'name': 'svchost.exe', 'username': None, 'pid': 6936} 
{'name': 'svchost.exe', 'username': None, 'pid': 7160} 
{'name': 'Code.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 7184} 
{'name': 'svchost.exe', 'username': None, 'pid': 7188} 
{'name': 'svchost.exe', 'username': None, 'pid': 7224} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 7524} 
{'name': 'mysqld.exe', 'username': None, 'pid': 7624} 
{'name': 'conhost.exe', 'username': None, 'pid': 7712} 
{'name': 'msedge.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 8004} 
{'name': 'nvcontainer.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 8440} 
{'name': 'brave.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 8708} 
{'name': 'unsecapp.exe', 'username': None, 'pid': 9272} 
{'name': 'Code.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 9328} 
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 9708} 
{'name': 'conhost.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 9712} 
{'name': 'svchost.exe', 'username': None, 'pid': 10096} 
{'name': 'AggregatorHost.exe', 'username': None, 'pid': 10236} 
{'name': 'brave.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 10268} 
{'name': 'svchost.exe', 'username': None, 'pid': 10340} 
{'name': 'brave.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 10424} 
{'name': 'svchost.exe', 'username': None, 'pid': 10436} 
{'name': 'svchost.exe', 'username': None, 'pid': 10456} 
{'name': 'svchost.exe', 'username': None, 'pid': 10496} 
{'name': 'Zoom.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 10900} 
{'name': 'svchost.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 10948} 
{'name': 'svchost.exe', 'username': None, 'pid': 11048} 
{'name': 'svchost.exe', 'username': None, 'pid': 11196} 
{'name': 'svchost.exe', 'username': None, 'pid': 11372} 
{'name': 'Code.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 11472} 
{'name': 'chrome.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 11528} 
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 11704} 
{'name': 'svchost.exe', 'username': None, 'pid': 11796} 
{'name': 'svchost.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 11808} 
{'name': 'AMDRSSrcExt.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 11964} 
