----------------------------------------------------------------------
Marvellous Proccess Log 
Log file created at : Sun Jun  2 09:42:51 2024
----------------------------------------------------------------------
Contents of Log File : 
----------------------------------------------------------------------
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'} 
{'pid': 5360, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'ArmouryCrate.UserSessionHelper.exe'} 
{'pid': 5528, 'username': None, 'name': 'svchost.exe'} 
{'pid': 5616, 'username': None, 'name': 'spoolsv.exe'} 
{'pid': 5684, 'username': None, 'name': 'wlanext.exe'} 
{'pid': 5692, 'username': None, 'name': 'svchost.exe'} 
{'pid': 5800, 'username': None, 'name': 'WmiPrvSE.exe'} 
{'pid': 5824, 'username': None, 'name': 'conhost.exe'} 
{'pid': 5828, 'username': None, 'name': 'svchost.exe'} 
{'pid': 5832, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'HxAccounts.exe'} 
{'pid': 5944, 'username': None, 'name': 'audiodg.exe'} 
{'pid': 5996, 'username': None, 'name': 'svchost.exe'} 
{'pid': 6088, 'username': None, 'name': 'armsvc.exe'} 
{'pid': 6112, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedge.exe'} 
{'pid': 6124, 'username': None, 'name': 'svchost.exe'} 
{'pid': 6152, 'username': None, 'name': 'ArmouryCrateControlInterface.exe'} 
{'pid': 6160, 'username': None, 'name': 'ArmouryCrate.Service.exe'} 
{'pid': 6176, 'username': None, 'name': 'AsusAppService.exe'} 
{'pid': 6204, 'username': None, 'name': 'AsusSoftwareManager.exe'} 
{'pid': 6216, 'username': None, 'name': 'AsusSwitch.exe'} 
{'pid': 6224, 'username': None, 'name': 'AsusSystemDiagnosis.exe'} 
{'pid': 6236, 'username': None, 'name': 'AsusSystemAnalysis.exe'} 
{'pid': 6268, 'username': None, 'name': 'OfficeClickToRun.exe'} 
{'pid': 6280, 'username': None, 'name': 'svchost.exe'} 
{'pid': 6312, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'chrome.exe'} 
{'pid': 6328, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'RuntimeBroker.exe'} 
{'pid': 6348, 'username': None, 'name': 'svchost.exe'} 
{'pid': 6432, 'username': None, 'name': 'DtsApo4Service.exe'} 
{'pid': 6440, 'username': None, 'name': 'GameSDK.exe'} 
{'pid': 6484, 'username': None, 'name': 'svchost.exe'} 
{'pid': 6496, 'username': None, 'name': 'svchost.exe'} 
{'pid': 6588, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'sihost.exe'} 
{'pid': 6680, 'username': None, 'name': 'csrss.exe'} 
{'pid': 6688, 'username': None, 'name': 'LightingService.exe'} 
{'pid': 6720, 'username': None, 'name': 'NortonSecurity.exe'} 
{'pid': 6732, 'username': None, 'name': 'mysqld.exe'} 
{'pid': 6788, 'username': None, 'name': 'nsWscSvc.exe'} 
{'pid': 6816, 'username': None, 'name': 'nvcontainer.exe'} 
{'pid': 6892, 'username': None, 'name': 'ROGLiveService.exe'} 
{'pid': 6900, 'username': None, 'name': 'RtkAudUService64.exe'} 
{'pid': 6920, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'chrome.exe'} 
{'pid': 6936, 'username': None, 'name': 'svchost.exe'} 
{'pid': 7160, 'username': None, 'name': 'svchost.exe'} 
{'pid': 7184, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'Code.exe'} 
{'pid': 7188, 'username': None, 'name': 'svchost.exe'} 
{'pid': 7224, 'username': None, 'name': 'svchost.exe'} 
{'pid': 7272, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'chrome.exe'} 
{'pid': 7524, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedgewebview2.exe'} 
{'pid': 7624, 'username': None, 'name': 'mysqld.exe'} 
{'pid': 7712, 'username': None, 'name': 'conhost.exe'} 
{'pid': 8004, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedge.exe'} 
{'pid': 8440, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'nvcontainer.exe'} 
{'pid': 8708, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'brave.exe'} 
{'pid': 9272, 'username': None, 'name': 'unsecapp.exe'} 
{'pid': 9328, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'Code.exe'} 
{'pid': 9708, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'RuntimeBroker.exe'} 
{'pid': 9712, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'conhost.exe'} 
{'pid': 10096, 'username': None, 'name': 'svchost.exe'} 
{'pid': 10236, 'username': None, 'name': 'AggregatorHost.exe'} 
{'pid': 10268, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'brave.exe'} 
{'pid': 10340, 'username': None, 'name': 'svchost.exe'} 
{'pid': 10424, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'brave.exe'} 
{'pid': 10436, 'username': None, 'name': 'svchost.exe'} 
{'pid': 10456, 'username': None, 'name': 'svchost.exe'} 
{'pid': 10900, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'Zoom.exe'} 
{'pid': 10948, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'svchost.exe'} 
{'pid': 11048, 'username': None, 'name': 'svchost.exe'} 
{'pid': 11196, 'username': None, 'name': 'svchost.exe'} 
{'pid': 11372, 'username': None, 'name': 'svchost.exe'} 
{'pid': 11472, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'Code.exe'} 
{'pid': 11528, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'chrome.exe'} 
{'pid': 11704, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedgewebview2.exe'} 
{'pid': 11796, 'username': None, 'name': 'svchost.exe'} 
{'pid': 11808, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'svchost.exe'} 
{'pid': 11964, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'AMDRSSrcExt.exe'} 
{'pid': 11988, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'brave.exe'} 
{'pid': 12028, 'username': None, 'name': 'svchost.exe'} 
{'pid': 12412, 'username': None, 'name': 'svchost.exe'} 
{'pid': 12532, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'conhost.exe'} 
{'pid': 12592, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msteams.exe'} 
{'pid': 12644, 'username': None, 'name': 'asus_framework.exe'} 
{'pid': 12740, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'OneDrive.exe'} 
{'pid': 12748, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'LocationNotificationWindows.exe'} 
{'pid': 12908, 'username': None, 'name': 'svchost.exe'} 
{'pid': 12928, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'ollama.exe'} 
{'pid': 13036, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'NortonSecurity.exe'} 
{'pid': 13052, 'username': None, 'name': 'BraveCrashHandler.exe'} 
{'pid': 13172, 'username': None, 'name': 'BraveCrashHandler64.exe'} 
{'pid': 13372, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'FileCoAuth.exe'} 
{'pid': 13400, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'WidgetService.exe'} 
{'pid': 13628, 'username': None, 'name': 'asus_framework.exe'} 
{'pid': 13688, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'dllhost.exe'} 
{'pid': 13728, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedgewebview2.exe'} 
